X,Y
994,710
994,710
994,710
994,710
994,710
994,710
994,710
994,710
994,710
994,710
994,710
994,710
994,710
994,710
994,710
994,710
994,710
994,710
994,710
994,710
994,710
993,710
993,710
993,710
993,710
991,710
991,710
991,710
991,710
990,710
990,710
990,710
988,710
988,710
988,710
988,710
987,709
987,709
987,709
987,709
985,709
985,709
985,709
985,709
985,709
985,709
985,709
985,709
983,708
983,708
983,708
983,708
983,708
983,708
983,708
983,708
983,708
983,708
983,708
981,707
981,707
981,707
981,707
980,707
980,707
980,707
979,706
979,706
979,706
979,706
979,706
977,706
977,706
977,706
977,706
976,705
976,705
976,705
976,705
975,705
975,705
975,705
974,704
974,704
974,704
974,704
973,704
973,704
973,704
973,703
973,703
973,703
973,703
973,703
973,703
973,703
972,703
972,703
972,703
972,703
971,702
971,702
971,702
970,701
970,701
970,701
970,701
970,701
970,701
970,701
968,701
968,701
968,701
968,701
967,700
967,700
966,699
966,699
966,699
966,699
966,699
965,699
965,699
965,699
965,699
964,698
964,698
964,698
964,698
964,698
964,698
963,697
963,697
963,697
963,697
963,697
962,696
962,696
962,696
961,695
961,695
961,695
960,694
960,694
960,694
960,694
958,693
958,693
958,693
958,693
955,691
955,691
955,691
955,691
954,689
954,689
954,689
954,689
952,687
952,687
952,687
952,687
950,686
950,686
950,686
949,685
949,685
949,685
949,685
948,683
948,683
948,683
947,682
947,682
947,682
947,682
947,680
947,680
947,680
946,679
946,679
946,679
946,679
945,678
945,678
945,678
944,675
944,675
944,675
944,675
943,674
943,674
943,674
943,674
943,673
943,673
943,673
943,673
943,671
943,671
943,671
943,671
942,670
942,670
942,670
941,669
941,669
941,669
941,669
941,667
941,667
941,667
941,667
941,667
941,667
941,667
941,667
941,667
941,667
941,667
941,667
941,665
941,665
941,665
941,665
941,665
941,665
941,665
940,663
940,663
940,663
940,663
940,663
940,663
940,663
940,661
940,661
940,661
940,661
940,661
940,661
940,659
940,659
940,659
940,659
940,658
940,658
940,658
940,658
940,657
940,657
940,657
940,655
940,655
940,655
940,654
940,654
940,654
940,654
940,653
940,653
940,653
940,652
940,652
940,652
940,652
940,650
940,650
940,650
940,650
940,649
940,649
940,649
940,648
940,648
940,648
940,646
940,646
940,646
940,646
940,644
940,644
940,644
940,643
940,643
940,643
940,643
940,642
940,642
940,642
940,642
940,642
940,642
940,642
940,642
940,640
940,640
940,640
940,640
940,638
940,638
940,638
940,637
940,637
940,637
940,636
940,636
940,636
940,636
940,634
940,634
940,634
940,632
940,632
940,632
940,630
940,630
940,630
940,630
941,629
941,629
941,629
941,627
941,627
941,627
941,627
941,627
941,627
941,627
941,625
941,625
941,625
941,625
942,624
942,624
942,623
942,623
942,623
942,623
943,621
943,621
943,621
943,620
943,620
943,620
943,620
944,619
944,619
944,619
945,617
945,617
945,617
945,617
945,616
945,616
945,616
945,615
945,615
945,615
945,615
946,613
946,613
946,613
946,613
946,613
946,613
946,613
947,611
947,611
947,611
947,611
947,611
947,611
947,611
948,609
948,609
948,609
948,609
948,609
948,609
948,609
948,609
948,609
948,609
949,607
949,607
949,607
949,607
949,607
949,607
949,607
951,605
951,605
951,605
951,604
951,604
951,604
951,604
952,602
952,602
952,602
953,601
953,601
953,601
953,601
954,600
954,600
954,600
955,599
955,599
955,599
955,599
955,598
955,598
955,598
956,597
956,597
956,597
956,597
956,597
956,597
956,597
957,596
957,596
957,596
958,595
958,595
958,595
958,595
958,595
958,595
958,595
958,595
958,595
959,594
959,594
959,594
959,594
960,593
960,593
960,593
960,593
960,593
960,593
960,593
961,592
961,592
963,590
963,590
963,590
963,590
964,589
964,589
964,589
965,587
965,587
965,587
966,587
966,587
966,587
966,587
967,586
967,586
967,586
968,586
968,586
969,585
969,585
969,585
969,585
970,584
970,584
970,584
970,584
970,584
970,584
970,584
