X,Y
1196,600
1196,600
1196,600
1196,600
1196,600
1196,600
1196,600
1196,600
1196,600
1196,600
1196,600
1196,600
1196,600
1196,600
1196,600
1196,600
1196,600
1196,600
1196,600
1196,600
1196,600
1196,600
1196,600
1196,600
1196,600
1196,601
1196,601
1196,601
1196,601
1196,601
1196,601
1196,601
1196,601
1196,601
1196,601
1196,601
1196,601
1196,601
1196,601
1196,601
1196,601
1196,601
1196,601
1196,601
1196,601
1196,601
1196,602
1196,602
1196,602
1196,602
1195,602
1195,602
1195,602
1195,602
1195,602
1195,602
1195,602
1195,602
1192,602
1192,602
1192,602
1192,603
1192,603
1192,603
1192,603
1192,603
1191,603
1191,603
1191,603
1191,603
1191,603
1191,603
1191,603
1191,603
1191,603
1191,603
1191,603
1191,603
1191,603
1191,603
1191,603
1190,603
1190,603
1190,603
1190,603
1189,603
1189,603
1189,603
1189,603
1189,603
1189,603
1189,603
1189,603
1189,603
1189,603
1189,603
1189,603
1189,603
1189,603
1189,603
1187,603
1187,603
1187,603
1187,603
1187,603
1187,603
1186,603
1186,603
1186,603
1186,603
1184,603
1184,603
1184,603
1184,603
1183,603
1183,603
1183,603
1182,603
1182,603
1182,603
1182,603
1180,603
1180,603
1180,603
1177,602
1177,602
1177,602
1176,602
1176,602
1176,602
1176,602
1174,601
1174,601
1174,601
1174,601
1172,600
1172,600
1172,600
1170,600
1170,600
1170,600
1167,600
1167,600
1167,600
1166,600
1166,600
1166,600
1166,600
1164,600
1164,600
1162,600
1162,600
1162,600
1160,600
1160,600
1160,600
1157,599
1157,599
1157,599
1155,598
1155,598
1154,598
1154,598
1154,598
1152,598
1152,598
1152,598
1150,598
1150,598
1150,598
1148,598
1148,598
1148,598
1146,598
1146,598
1146,598
1145,598
1145,598
1143,597
1143,597
1143,597
1141,596
1141,596
1141,596
1138,596
1138,596
1137,596
1137,596
1137,596
1135,596
1135,596
1134,596
1134,596
1134,596
1134,596
1134,596
1134,596
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1132,595
1130,595
1130,595
1130,595
1130,595
1130,595
1130,595
1129,595
1129,595
1129,595
1128,595
1128,595
1128,595
1126,595
1126,595
1126,595
1126,595
1126,595
1126,595
1124,595
1124,595
1124,595
1124,595
1124,595
1124,595
1124,595
1122,595
1122,595
1122,595
1122,595
1122,595
1122,595
1122,595
1122,595
1122,595
1122,595
1120,595
1120,595
1120,595
1120,595
1119,594
1119,594
1119,594
1118,594
1118,594
1118,594
1118,594
1118,594
1118,594
1118,594
1117,593
1117,593
1117,593
1117,593
1117,593
1117,593
1117,593
1115,593
1115,593
1115,593
1115,593
1115,593
1115,593
1113,593
1113,593
1113,593
1113,593
1112,593
1112,593
1111,592
1111,592
1111,592
1111,592
1108,591
1108,591
1106,591
1106,591
